Job Code,City,State,County,Bidding Contractors,Job Status
BEO,Greenville,South Carolina,,,In Production
BTI,Bradenton,Florida,Manatee County,,Completed
BRF,Parrish,Florida,Manatee County,,Completed
BSI,St. Cloud,Florida,Osceola County,,In Production
BVD,Lakewood Ranch,Florida,Manatee County,,Completed
BTZ,Parrish,Florida,Manatee County,,In Production
BVZ,Bradenton,Florida,Manatee County,,Completed
BUA,Palmetto,Florida,Manatee County,,In Production
BSB,Kissimmee,Florida,Osceola County,,In Production
BSA,Jacksonville,Florida,Duval County,,Completed
BRK,Bradenton,Florida,Manatee County,,Completed
BUO,Gainesville,Florida,Alachua County,,In Production
BWC,Jacksonville,Florida,Duval County,,Completed
BSL,Bradenton,Florida,Manatee County,,Completed
BST,Sarasota,Florida,,,In Production
BSS,Jacksonville,Florida,Duval County,,In Production
BRO,Lakewood Ranch,Florida,Manatee County,,Completed
BRA,Bradenton,Florida,Manatee County,,Completed
BVP,Bradenton,Florida,Manatee County,,Completed
BRP,St. Cloud,Florida,Osceola County,,Completed
BWA,Ellenton,Florida,Manatee County,,Completed
BTO,Gainesville,Florida,Alachua County,,Completed
BVT,Parrish,Florida,Manatee County,,Completed
BRZ,St Augustine,Florida,St Johns County,,Completed
BOR,New Port Richie,Florida,Pasco County,,Completed
BVE,Parrish,Florida,Manatee County,,Completed
BUQ,Lakewood Ranch,Florida,Manatee County,,In Production
BUI,Jacksonville,Florida,Duval County,,In Production
BSR,Jacksonville,Florida,Duval County,,In Production
BUT,Parrish,Florida,Manatee County,,Completed
BVO,Parrish,Florida,Manatee County,,Completed
BSY,St. Cloud,Florida,Osceola County,,In Production
BTV,Parrish,Florida,Manatee County,,Completed
BSK,St. Cloud,Florida,Osceola County,,In Production
BRC,Huntersville,North Carolina,Mecklenburg County,,Completed
BRG,St. Cloud,Florida,Osceola County,,Completed
BRN,St. Cloud,Florida,Osceola County,,Completed
BRD,Parrish,Florida,Manatee County,,Completed
BTM,Calabash,North Carolina,,,Completed
BUC,Lakewood Ranch,Florida,Manatee County,,In Production
BVI,Bradenton,Florida,Manatee County,,In Production
BFB,Suwanee,Georgia,,,In Production
BGJ,Jacksonville,Florida,Duval County,,In Production
BGC,Jacksonville,Florida,Duval County,,In Production
BGN,,North Carolina,,,In Production
BGQ,St. Cloud,Florida,Osceola County,,Completed
BGR,Vero Beach,Florida,,,In Production
BGW,Mint Hill,North Carolina,,,In Production
BGS,,North Carolina,,,In Production
BHB,Jacksonville,Florida,Duval County,,In Production
BHC,Winston-Salem,North Carolina,,,In Production
BHK,Delco,North Carolina,,,In Production
BHM,Ocala,Florida,,,In Production
BHN,Ocala,Florida,,,In Production
BHS,Norfolk,Virginia,,,In Production
BHU,Jacksonville,Florida,Duval County,,In Production
BHT,Jacksonville,Florida,Duval County,,In Production
BHV,Lakeland,Florida,Polk County,,In Production
BIA,Danville,Virginia,,,In Production
BHW,Lakeland,Florida,Polk County,,In Production
BRJ,Kennesaw,Georgia,,,In Production
BCY,Kissimmee,Florida,Osceola County,,Completed
BED,St. Cloud,Florida,Osceola County,,Completed
ASF,Raleigh,North Carolina,,,Completed
ATG,,Florida,Santa Rosa County,,Completed
AVL,Gainesville,Florida,Alachua County,,In Production
AVZ,Charlotte,North Carolina,,,In Production
AXG,Riverview,Florida,,,In Production
AXJ,Jacksonville,Florida,Duval County,,In Production
AXV,Jacksonville,Florida,Duval County,,In Production
AYB,Mt. Pleasant,South Carolina,,,In Production
AYO,Mint Hill,North Carolina,,,In Production
AYQ,Ft. Myers,Florida,,,In Production
AYT,Jacksonville,Florida,Duval County,,In Production
AZE,Naples,Florida,,,In Production
AZF,Jacksonville,Florida,Duval County,,In Production
AZH,Carlisle,Pennsylvania,,,In Production
AZJ,,North Carolina,,,In Production
AZK,Lakeland,Florida,Polk County,,In Production
AZM,Jacksonville,Florida,Duval County,,In Production
AZT,Keswick,Virginia,,,In Production
AZY,Crystal River,Florida,,,In Production
BAA,Clearfield,Pennsylvania,,,In Production
BAE,Morrow,Georgia,,,In Production
BAK,Greenville,South Carolina,,,In Production
BAL,Lakeland,Florida,Polk County,,In Production
BAO,Jacksonville,Florida,Duval County,,In Production
BAP,Jacksonville,Florida,Duval County,,In Production
BAQ,Jacksonville,Florida,Duval County,,In Production
BAR,Jacksonville,Florida,Duval County,,In Production
BAX,Jacksonville,Florida,Duval County,,In Production
BAZ,Grayson,Georgia,,,In Production
BBF,Arcadia,Florida,,,In Production
BBH,Simpsonville,South Carolina,,,In Production
BBI,Jacksonville,Florida,Duval County,,In Production
BBJ,Jacksonville,Florida,Duval County,,In Production
BBT,Fayetteville,North Carolina,,,In Production
BCE,Norcross,Georgia,,,In Production
BCI,Naples,Florida,,,In Production
BCK,Jacksonville,Florida,Duval County,,In Production
BCN,Jacksonville,Florida,Duval County,,In Production
BCM,Bradenton,Florida,Manatee County,,In Production
BCQ,,South Carolina,Greenville County,,In Production
BCT,Jacksonville,Florida,Duval County,,In Production
BCV,,North Carolina,,,In Production
BDD,Forest Park,Georgia,,,In Production
BDO,Mt. Pleasant,South Carolina,,,In Production
BDI,Lakeland,Florida,Polk County,,In Production
BDW,Stafford,Virginia,,,In Production
BEA,Jacksonville,Florida,Duval County,,In Production
BEI,Cary,North Carolina,,,In Production
BEJ,Jacksonville,Florida,Duval County,,In Production
BEL,Mobile,Alabama,,,In Production
BIE,New Port Richie,Florida,,,In Production
BIG,Melbourne,Florida,Brevard County,,Completed
BIJ,Lakeland,Florida,Polk County,,In Production
BIU,,North Carolina,,,In Production
BJD,Mobile,Alabama,,,In Production
BJV,Pensacola,Florida,,,In Production
BJO,Greenville,South Carolina,,,In Production
BJW,Harrisburg,Pennsylvania,,,In Production
BJZ,Jacksonville,Florida,Duval County,,In Production
