row_num,original_job_code,date_shipped,invoiced_customer,state,city,fixed_job_code,repair_status,repair_confidence,repair_method,repair_notes
2,,2014-03-04 00:00:00,"HARBER COMPANY, INC.","=IFERROR(VLOOKUP($D2,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D2,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-04 — predates job code system (pre-2016)
3,,2014-03-04 00:00:00,"HARBER COMPANY, INC.",Nevada,North Las Vegas,,PRE-2016,n/a,,Shipped 2014-03-04 — predates job code system (pre-2016)
4,,2014-03-04 00:00:00,"HARBER COMPANY, INC.",Nevada,North Las Vegas,,PRE-2016,n/a,,Shipped 2014-03-04 — predates job code system (pre-2016)
5,,2014-03-04 00:00:00,"HARBER COMPANY, INC.",Nevada,North Las Vegas,,PRE-2016,n/a,,Shipped 2014-03-04 — predates job code system (pre-2016)
6,,2014-03-04 00:00:00,"HARBER COMPANY, INC.",Nevada,North Las Vegas,,PRE-2016,n/a,,Shipped 2014-03-04 — predates job code system (pre-2016)
7,,2014-03-04 00:00:00,"HARBER COMPANY, INC.",Nevada,North Las Vegas,,PRE-2016,n/a,,Shipped 2014-03-04 — predates job code system (pre-2016)
8,,2014-03-04 00:00:00,"HARBER COMPANY, INC.",Nevada,North Las Vegas,,PRE-2016,n/a,,Shipped 2014-03-04 — predates job code system (pre-2016)
9,,2014-03-04 00:00:00,"HARBER COMPANY, INC.",Nevada,North Las Vegas,,PRE-2016,n/a,,Shipped 2014-03-04 — predates job code system (pre-2016)
10,,2014-03-11 00:00:00,"HD SUPPLY WATERWORKS, LTD.",Missouri,St. Louis,,PRE-2016,n/a,,Shipped 2014-03-11 — predates job code system (pre-2016)
11,,2014-03-11 00:00:00,"HD SUPPLY WATERWORKS, LTD.",Missouri,St. Louis,,PRE-2016,n/a,,Shipped 2014-03-11 — predates job code system (pre-2016)
12,,2014-03-11 00:00:00,"HD SUPPLY WATERWORKS, LTD.",Missouri,St. Louis,,PRE-2016,n/a,,Shipped 2014-03-11 — predates job code system (pre-2016)
13,,2014-03-11 00:00:00,"HD SUPPLY WATERWORKS, LTD.",Missouri,St. Louis,,PRE-2016,n/a,,Shipped 2014-03-11 — predates job code system (pre-2016)
14,,2014-03-11 00:00:00,"HD SUPPLY WATERWORKS, LTD.",Missouri,St. Louis,,PRE-2016,n/a,,Shipped 2014-03-11 — predates job code system (pre-2016)
15,,2014-03-11 00:00:00,"HD SUPPLY WATERWORKS, LTD.",Missouri,St. Louis,,PRE-2016,n/a,,Shipped 2014-03-11 — predates job code system (pre-2016)
16,,2014-03-12 00:00:00,LYNDON JONES,Utah,"=IFERROR(VLOOKUP($D16,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-12 — predates job code system (pre-2016)
17,,2014-03-12 00:00:00,LYNDON JONES,Utah,"=IFERROR(VLOOKUP($D17,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-12 — predates job code system (pre-2016)
18,,2014-03-12 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D18,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D18,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-12 — predates job code system (pre-2016)
19,,,,"=IFERROR(VLOOKUP($D19,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D19,'Job Code Data'!$B:$G,5,FALSE),"""")",,UNRESOLVABLE,n/a,,No customer or state match found in registry
20,,2014-03-12 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D20,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D20,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-12 — predates job code system (pre-2016)
21,,2014-03-12 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D21,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D21,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-12 — predates job code system (pre-2016)
22,,2014-03-12 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D22,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D22,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-12 — predates job code system (pre-2016)
23,,2014-03-12 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D23,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D23,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-12 — predates job code system (pre-2016)
24,,2014-03-12 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D24,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D24,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-12 — predates job code system (pre-2016)
25,,,,"=IFERROR(VLOOKUP($D25,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D25,'Job Code Data'!$B:$G,5,FALSE),"""")",,UNRESOLVABLE,n/a,,No customer or state match found in registry
26,,2014-03-12 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D26,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D26,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-12 — predates job code system (pre-2016)
27,,,,"=IFERROR(VLOOKUP($D27,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D27,'Job Code Data'!$B:$G,5,FALSE),"""")",,UNRESOLVABLE,n/a,,No customer or state match found in registry
28,,2014-03-14 00:00:00,"HD SUPPLY WATERWORKS, LTD.","=IFERROR(VLOOKUP($D28,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D28,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-14 — predates job code system (pre-2016)
29,,2014-03-17 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D29,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D29,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-17 — predates job code system (pre-2016)
30,,,,"=IFERROR(VLOOKUP($D30,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D30,'Job Code Data'!$B:$G,5,FALSE),"""")",,UNRESOLVABLE,n/a,,No customer or state match found in registry
31,,2014-03-17 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D31,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D31,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-17 — predates job code system (pre-2016)
32,,2014-03-17 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D32,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D32,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-17 — predates job code system (pre-2016)
33,,2014-03-17 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D33,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D33,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-17 — predates job code system (pre-2016)
34,,2014-03-17 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D34,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D34,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-17 — predates job code system (pre-2016)
35,,2014-03-17 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D35,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D35,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-17 — predates job code system (pre-2016)
36,,,,"=IFERROR(VLOOKUP($D36,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D36,'Job Code Data'!$B:$G,5,FALSE),"""")",,UNRESOLVABLE,n/a,,No customer or state match found in registry
37,,2014-03-17 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D37,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D37,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-17 — predates job code system (pre-2016)
38,,2014-03-17 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D38,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D38,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-17 — predates job code system (pre-2016)
39,,2014-03-18 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D39,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D39,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-18 — predates job code system (pre-2016)
40,,2014-03-18 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D40,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D40,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-18 — predates job code system (pre-2016)
41,,2014-03-18 00:00:00,GENEVA PIPE COMPANY,"=IFERROR(VLOOKUP($D41,'Job Code Data'!$B:$G,6,FALSE),"""")","=IFERROR(VLOOKUP($D41,'Job Code Data'!$B:$G,5,FALSE),"""")",,PRE-2016,n/a,,Shipped 2014-03-18 — predates job code system (pre-2016)
